ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA,CA_Total
100,9.88,4,0.0,39.52,39.52,7.9,47.42
101,178.98,5,0.0,894.9,894.9,178.98,1073.88
102,50.37,9,30.0,453.33,317.33,63.47,380.8
103,86.81,5,0.0,434.05,434.05,86.81,520.86
104,36.13,5,0.0,180.65,180.65,36.13,216.78
105,79.09,6,0.0,474.54,474.54,94.91,569.45
106,109.56,7,0.0,766.92,766.92,153.38,920.3
107,127.58,6,0.0,765.48,765.48,153.1,918.58
108,119.95,5,5.0,599.75,569.76,113.95,683.71
109,79.12,14,10.0,1107.68,996.91,199.38,1196.29
110,135.68,11,25.0,1492.48,1119.36,223.87,1343.23
111,109.16,8,30.0,873.28,611.3,122.26,733.56
112,47.82,13,5.0,621.66,590.58,118.12,708.7
113,161.98,2,25.0,323.96,242.97,48.59,291.56
114,66.36,7,30.0,464.52,325.16,65.03,390.19
115,56.65,9,25.0,509.85,382.39,76.48,458.87
116,118.79,3,0.0,356.37,356.37,71.27,427.64
117,172.92,3,10.0,518.76,466.88,93.38,560.26
118,80.03,8,20.0,640.24,512.19,102.44,614.63
119,7.24,11,5.0,79.64,75.66,15.13,90.79
120,71.33,3,5.0,213.99,203.29,40.66,243.95
121,153.58,2,5.0,307.16,291.8,58.36,350.16
122,103.99,6,20.0,623.94,499.15,99.83,598.98
123,184.87,10,0.0,1848.7,1848.7,369.74,2218.44
124,75.78,13,0.0,985.14,985.14,197.03,1182.17
125,115.63,5,20.0,578.15,462.52,92.5,555.02
126,30.04,9,20.0,270.36,216.29,43.26,259.55
127,87.51,9,5.0,787.59,748.21,149.64,897.85
128,82.8,6,20.0,496.8,397.44,79.49,476.93
129,53.34,0,0.0,0.0,0.0,0.0,0.0
131,181.56,2,5.0,363.12,344.96,68.99,413.95
132,46.78,15,25.0,701.7,526.28,105.26,631.54
133,158.0,4,42.0,632.0,366.56,73.31,439.87
134,87.6,12,0.0,1051.2,1051.2,210.24,1261.44
135,131.01,0,0.0,0.0,0.0,0.0,0.0
136,42.09,7,15.0,294.63,250.44,50.09,300.53
137,185.04,14,0.0,2590.56,2590.56,518.11,3108.67
138,199.86,2,5.0,399.72,379.73,75.95,455.68
139,99.7,7,0.0,697.9,697.9,139.58,837.48
140,197.14,13,5.0,2562.82,2434.68,486.94,2921.62
141,191.68,9,15.0,1725.12,1466.35,293.27,1759.62
142,62.86,10,0.0,628.6,628.6,125.72,754.32
143,16.15,9,20.0,145.35,116.28,23.26,139.54
144,192.35,2,0.0,384.7,384.7,76.94,461.64
145,173.05,15,25.0,2595.75,1946.81,389.36,2336.17
146,125.78,10,10.0,1257.8,1132.02,226.4,1358.42
